StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Text / Graphic,Location,Activity,Occupancy,Indoor Air Quality_1,Perceived_1,Satisfaction_1,Description,Symptons,Symptons_5_TEXT,Cognitive,Cognitive_3_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Introduction,"Location
Where are you currently located within the Lab42 building?","ActivityOn average, how often do you use Lab42 per week for various activities?","Occupancy
How would you describe the occupancy in your current space?","Awareness Air QualityDid you know that poor air quality have been identified to pose
health risks and affect cognitive performance? How aware are you of the current air quality in this space? - Awareness",Perceived Air QualityHow do you perceive the air quality in the current space? - Perceived Air Quality,Satisfaction Air QualityHow satisfied are you with the air quality in the current space? - Air Quality Satisfaction,"Satisfaction Air QualityNot mandatory
Would you like to describe describe in more detail in your own words how you currently feel about the Indoor Air Quality?","Health symptons
Do you experience any health related symptons based on the air quality in this space? - Selected Choice","Health symptons
Do you experience any health related symptons based on the air quality in this space? - Other - Text","Cognitive symptons
Do you experience any cognitive based symptons on the air quality in this space? - Selected Choice","Cognitive symptons
Do you experience any cognitive based symptons on the air quality in this space? - Other - Text"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID20""}","{""ImportId"":""QID26""}","{""ImportId"":""QID22""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_5_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID33_3_TEXT""}"
2024-03-26 11:01:06,2024-03-26 11:01:44,IP Address,185.107.44.164,100,37,True,2024-03-26 11:01:45,R_4uTCcBcFTpI0eai,,,,,52.3759,4.8975,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",,,,,,,,,,,
2024-03-28 14:03:09,2024-03-28 14:05:45,IP Address,145.109.22.122,100,156,True,2024-03-28 14:05:46,R_8CIn4BdVolHL8lU,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),1 day a week,Not crowded,Neutral,Good,Satisfied,,None,,None,
2024-03-28 14:04:50,2024-03-28 14:07:54,IP Address,145.109.9.173,100,184,True,2024-03-28 14:07:55,R_2QFyuyCGa26NetU,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),4 days a week,Crowded,Very aware,Poor,Dissatisfied,"there needs to be more ventilation ",Other,foggy brain,Trouble with focus,
2024-03-28 14:07:44,2024-03-28 14:08:44,IP Address,80.233.53.168,100,60,True,2024-03-28 14:08:45,R_3Tnsyv4GlTbNptE,,,,,53.3924,-6.3054,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),4 days a week,Not too crowded,Aware,Good,Satisfied,,,,,
2024-03-28 14:09:29,2024-03-28 14:10:39,IP Address,145.109.9.15,100,69,True,2024-03-28 14:10:40,R_8mn1FKgZlEVHQ7s,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the ground floor (the atrium),2 days a week,Not too crowded,Unaware,Good,Satisfied,,None,,None,
2024-03-28 14:10:02,2024-03-28 14:11:30,IP Address,145.109.37.80,100,88,True,2024-03-28 14:11:31,R_1GHSvKF32o6qDOR,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),1 day a week,Not crowded,Neutral,Good,Satisfied,,None,,None,
2024-03-28 14:10:01,2024-03-28 14:11:34,IP Address,145.109.40.38,100,93,True,2024-03-28 14:11:34,R_18t13IbTrGJdgwp,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the ground floor (the atrium),3 days a week,Not crowded,Neutral,Good,Very satisfied,"I feel like Iâ€™m this building the air quiality is really good, maybe also because of the impression the high ceilings give",None,,None,
2024-03-28 14:15:48,2024-03-28 14:17:15,IP Address,77.63.122.115,100,87,True,2024-03-28 14:17:15,R_5SWklZcLn8JZFfj,,,,,52.2179,5.1446,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the second floor (2th floor - in a working space),5 days a week,Not too crowded,Aware,Good,Satisfied,,None,,None,
2024-03-28 14:16:17,2024-03-28 14:18:01,IP Address,145.109.15.96,100,103,True,2024-03-28 14:18:01,R_1Pv3hF9VawKwk4Q,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the second floor (2th floor - in a working space),4 days a week,Not crowded,Unaware,Good,Very satisfied,"I think it is good, although I must say that this is mostly based on the large amount of open space in the building and the plants that are present.",None,,None,
2024-03-28 15:20:12,2024-03-28 15:22:10,IP Address,46.34.234.9,100,117,True,2024-03-28 15:22:11,R_4guoIiE2GEpuc3N,,,,,48.4092,18.1482,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),1 day a week,Not crowded,Unaware,Acceptable,Neither dissaitisfied or satisfied,Its really cold in here so the air seems cold and it makes me sick,None,,Other,I feel sick bcs of the cold
2024-03-26 11:05:31,2024-03-28 14:00:48,IP Address,185.107.44.164,30,183316,False,2024-04-04 15:00:52,R_7QKUYFbYCeGmR5u,,,,,,,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the second floor (2th floor - in a working space),2 days a week,Very crowded,,,,,,,,
